response_num,var,question,response,anonymized_by_respondi,flagged_by_respondi
1,work_condi_hamper_char,Can you think of any working conditions at the MZES that hamper your or your colleagues’ successful integration into the workplace and the professional development?,saasd,NA,NA
2,work_condi_hamper_char,Can you think of any working conditions at the MZES that hamper your or your colleagues’ successful integration into the workplace and the professional development?,"ysdfxgnchvj,bk.",NA,NA
3,work_condi_hamper_char,Can you think of any working conditions at the MZES that hamper your or your colleagues’ successful integration into the workplace and the professional development?,"dsfghmj,mn",NA,NA
4,work_condi_hamper_char,Can you think of any working conditions at the MZES that hamper your or your colleagues’ successful integration into the workplace and the professional development?,sagf,NA,NA
5,work_condi_hamper_char,Can you think of any working conditions at the MZES that hamper your or your colleagues’ successful integration into the workplace and the professional development?,asdfsadf,NA,NA
6,work_condi_hamper_char,Can you think of any working conditions at the MZES that hamper your or your colleagues’ successful integration into the workplace and the professional development?,test,NA,NA
7,work_condi_hamper_char,Can you think of any working conditions at the MZES that hamper your or your colleagues’ successful integration into the workplace and the professional development?,saf,NA,NA
8,work_condi_hamper_char,Can you think of any working conditions at the MZES that hamper your or your colleagues’ successful integration into the workplace and the professional development?,wajdjf fc,NA,NA
9,work_condi_hamper_char,Can you think of any working conditions at the MZES that hamper your or your colleagues’ successful integration into the workplace and the professional development?,This and that,NA,NA
10,work_condi_hamper_char,Can you think of any working conditions at the MZES that hamper your or your colleagues’ successful integration into the workplace and the professional development?,uwqhfu fhewf,NA,NA
11,work_condi_hamper_char,Can you think of any working conditions at the MZES that hamper your or your colleagues’ successful integration into the workplace and the professional development?,ucsidvchähewqf,NA,NA
12,work_condi_hamper_char,Can you think of any working conditions at the MZES that hamper your or your colleagues’ successful integration into the workplace and the professional development?,igföodkgüDkf,NA,NA
13,work_condi_hamper_char,Can you think of any working conditions at the MZES that hamper your or your colleagues’ successful integration into the workplace and the professional development?,iojfje,NA,NA
14,work_condi_hamper_char,Can you think of any working conditions at the MZES that hamper your or your colleagues’ successful integration into the workplace and the professional development?,test,NA,NA
15,work_condi_hamper_char,Can you think of any working conditions at the MZES that hamper your or your colleagues’ successful integration into the workplace and the professional development?,test,NA,NA
16,work_condi_hamper_char,Can you think of any working conditions at the MZES that hamper your or your colleagues’ successful integration into the workplace and the professional development?,asdfsdaf,NA,NA
17,work_condi_hamper_char,Can you think of any working conditions at the MZES that hamper your or your colleagues’ successful integration into the workplace and the professional development?,sad,NA,NA
18,work_condi_hamper_char,Can you think of any working conditions at the MZES that hamper your or your colleagues’ successful integration into the workplace and the professional development?,So einige,NA,NA
19,work_condi_hamper_char,Can you think of any working conditions at the MZES that hamper your or your colleagues’ successful integration into the workplace and the professional development?,asda,NA,NA
20,work_condi_hamper_char,Can you think of any working conditions at the MZES that hamper your or your colleagues’ successful integration into the workplace and the professional development?,sd,NA,NA
21,work_condi_hamper_char,Can you think of any working conditions at the MZES that hamper your or your colleagues’ successful integration into the workplace and the professional development?,test,NA,NA
22,work_condi_improve_char,Can you think of any measures to alleviate these problems?,kjcsöa,NA,NA
23,work_condi_improve_char,Can you think of any measures to alleviate these problems?,asdfsadf,NA,NA
24,work_condi_improve_char,Can you think of any measures to alleviate these problems?,dfg,NA,NA
25,work_condi_improve_char,Can you think of any measures to alleviate these problems?,sad,NA,NA
26,work_condi_improve_char,Can you think of any measures to alleviate these problems?,sad,NA,NA
27,work_condi_improve_char,Can you think of any measures to alleviate these problems?,test,NA,NA
28,work_condi_improve_char,Can you think of any measures to alleviate these problems?,Nope,NA,NA
29,work_condi_improve_char,Can you think of any measures to alleviate these problems?,hvbjknlm,NA,NA
30,work_condi_improve_char,Can you think of any measures to alleviate these problems?,"Ja, da habe ich ne Idee",NA,NA
31,work_condi_improve_char,Can you think of any measures to alleviate these problems?,asgf,NA,NA
32,work_condi_improve_char,Can you think of any measures to alleviate these problems?,sfjaj,NA,NA
33,work_condi_improve_char,Can you think of any measures to alleviate these problems?,rewtthz,NA,NA
34,work_condi_improve_char,Can you think of any measures to alleviate these problems?,dfg,NA,NA
35,work_condi_improve_char,Can you think of any measures to alleviate these problems?,daCACADSC,NA,NA
36,work_condi_improve_char,Can you think of any measures to alleviate these problems?,fdkj-vsö,NA,NA
37,work_condi_improve_char,Can you think of any measures to alleviate these problems?,dfg,NA,NA
38,work_condi_improve_char,Can you think of any measures to alleviate these problems?,test,NA,NA
39,work_condi_improve_char,Can you think of any measures to alleviate these problems?,test,NA,NA
40,work_condi_improve_char,Can you think of any measures to alleviate these problems?,test,NA,NA
41,work_atmos_improve_char,Do you have any (other) suggestions for improving the work atmosphere at the MZES?,Maybe,NA,NA
42,work_atmos_improve_char,Do you have any (other) suggestions for improving the work atmosphere at the MZES?,jkjcsk,NA,NA
43,work_atmos_improve_char,Do you have any (other) suggestions for improving the work atmosphere at the MZES?,asdfasdf,NA,NA
44,work_atmos_improve_char,Do you have any (other) suggestions for improving the work atmosphere at the MZES?,test,NA,NA
45,work_atmos_improve_char,Do you have any (other) suggestions for improving the work atmosphere at the MZES?,hj,NA,NA
46,work_atmos_improve_char,Do you have any (other) suggestions for improving the work atmosphere at the MZES?,"Ja, das geht besser",NA,NA
47,work_atmos_improve_char,Do you have any (other) suggestions for improving the work atmosphere at the MZES?,test,NA,NA
48,work_atmos_improve_char,Do you have any (other) suggestions for improving the work atmosphere at the MZES?,"grdthfhu,jk",NA,NA
49,work_atmos_improve_char,Do you have any (other) suggestions for improving the work atmosphere at the MZES?,asgf,NA,NA
50,work_atmos_improve_char,Do you have any (other) suggestions for improving the work atmosphere at the MZES?,jkl,NA,NA
51,work_atmos_improve_char,Do you have any (other) suggestions for improving the work atmosphere at the MZES?,test,NA,NA
52,work_atmos_improve_char,Do you have any (other) suggestions for improving the work atmosphere at the MZES?,ghj,NA,NA
53,work_atmos_improve_char,Do you have any (other) suggestions for improving the work atmosphere at the MZES?,fm-lvfm,NA,NA
54,work_atmos_improve_char,Do you have any (other) suggestions for improving the work atmosphere at the MZES?,sad,NA,NA
55,work_atmos_improve_char,Do you have any (other) suggestions for improving the work atmosphere at the MZES?,test,NA,NA
56,work_atmos_improve_char,Do you have any (other) suggestions for improving the work atmosphere at the MZES?,sdfgvnhmb,NA,NA
57,work_atmos_improve_char,Do you have any (other) suggestions for improving the work atmosphere at the MZES?,saCSACA,NA,NA
58,covid_support_char,"Have you received support from colleagues or superiors that helped you cope with the situation apart from the measurements centrally implemented by the MZES (e.g., laptops for remote work, extension of fellowships, etc.)? Please elaborate.",jkj,NA,NA
59,covid_support_char,"Have you received support from colleagues or superiors that helped you cope with the situation apart from the measurements centrally implemented by the MZES (e.g., laptops for remote work, extension of fellowships, etc.)? Please elaborate.",hfijajfA,NA,NA
60,covid_support_char,"Have you received support from colleagues or superiors that helped you cope with the situation apart from the measurements centrally implemented by the MZES (e.g., laptops for remote work, extension of fellowships, etc.)? Please elaborate.",test,NA,NA
61,covid_support_char,"Have you received support from colleagues or superiors that helped you cope with the situation apart from the measurements centrally implemented by the MZES (e.g., laptops for remote work, extension of fellowships, etc.)? Please elaborate.",sgfhj,NA,NA
62,covid_support_char,"Have you received support from colleagues or superiors that helped you cope with the situation apart from the measurements centrally implemented by the MZES (e.g., laptops for remote work, extension of fellowships, etc.)? Please elaborate.",Nein,NA,NA
63,covid_support_char,"Have you received support from colleagues or superiors that helped you cope with the situation apart from the measurements centrally implemented by the MZES (e.g., laptops for remote work, extension of fellowships, etc.)? Please elaborate.",hkg,NA,NA
64,covid_support_char,"Have you received support from colleagues or superiors that helped you cope with the situation apart from the measurements centrally implemented by the MZES (e.g., laptops for remote work, extension of fellowships, etc.)? Please elaborate.",test,NA,NA
65,covid_support_char,"Have you received support from colleagues or superiors that helped you cope with the situation apart from the measurements centrally implemented by the MZES (e.g., laptops for remote work, extension of fellowships, etc.)? Please elaborate.",test,NA,NA
66,covid_support_char,"Have you received support from colleagues or superiors that helped you cope with the situation apart from the measurements centrally implemented by the MZES (e.g., laptops for remote work, extension of fellowships, etc.)? Please elaborate.",test,NA,NA
67,covid_support_char,"Have you received support from colleagues or superiors that helped you cope with the situation apart from the measurements centrally implemented by the MZES (e.g., laptops for remote work, extension of fellowships, etc.)? Please elaborate.",saf,NA,NA
68,covid_support_char,"Have you received support from colleagues or superiors that helped you cope with the situation apart from the measurements centrally implemented by the MZES (e.g., laptops for remote work, extension of fellowships, etc.)? Please elaborate.",asdfsadf,NA,NA
69,covid_support_char,"Have you received support from colleagues or superiors that helped you cope with the situation apart from the measurements centrally implemented by the MZES (e.g., laptops for remote work, extension of fellowships, etc.)? Please elaborate.",chjvkbln,NA,NA
70,covid_support_char,"Have you received support from colleagues or superiors that helped you cope with the situation apart from the measurements centrally implemented by the MZES (e.g., laptops for remote work, extension of fellowships, etc.)? Please elaborate.",some,NA,NA
71,covid_support_char,"Have you received support from colleagues or superiors that helped you cope with the situation apart from the measurements centrally implemented by the MZES (e.g., laptops for remote work, extension of fellowships, etc.)? Please elaborate.",oöjvdfjv,NA,NA
72,covid_support_char,"Have you received support from colleagues or superiors that helped you cope with the situation apart from the measurements centrally implemented by the MZES (e.g., laptops for remote work, extension of fellowships, etc.)? Please elaborate.",jkj,NA,NA
73,covid_support_char,"Have you received support from colleagues or superiors that helped you cope with the situation apart from the measurements centrally implemented by the MZES (e.g., laptops for remote work, extension of fellowships, etc.)? Please elaborate.",KHJIVJDAÖVJDA,NA,NA
74,covid_support_char,"Have you received support from colleagues or superiors that helped you cope with the situation apart from the measurements centrally implemented by the MZES (e.g., laptops for remote work, extension of fellowships, etc.)? Please elaborate.",test,NA,NA
75,covid_suggest_char,Do you have any suggestions as to what could be done to help you in particular or MZES employees in general to deal with the changes brought on by the COVID-19 pandemic?,DHAKHA,NA,NA
76,covid_suggest_char,Do you have any suggestions as to what could be done to help you in particular or MZES employees in general to deal with the changes brought on by the COVID-19 pandemic?,too late,NA,NA
77,covid_suggest_char,Do you have any suggestions as to what could be done to help you in particular or MZES employees in general to deal with the changes brought on by the COVID-19 pandemic?,test,NA,NA
78,covid_suggest_char,Do you have any suggestions as to what could be done to help you in particular or MZES employees in general to deal with the changes brought on by the COVID-19 pandemic?,Mehr Tests. Mehr Home Office.,NA,NA
79,covid_suggest_char,Do you have any suggestions as to what could be done to help you in particular or MZES employees in general to deal with the changes brought on by the COVID-19 pandemic?,test,NA,NA
80,covid_suggest_char,Do you have any suggestions as to what could be done to help you in particular or MZES employees in general to deal with the changes brought on by the COVID-19 pandemic?,test,NA,NA
81,covid_suggest_char,Do you have any suggestions as to what could be done to help you in particular or MZES employees in general to deal with the changes brought on by the COVID-19 pandemic?,jhg,NA,NA
82,covid_suggest_char,Do you have any suggestions as to what could be done to help you in particular or MZES employees in general to deal with the changes brought on by the COVID-19 pandemic?,srgdthfg,NA,NA
83,covid_suggest_char,Do you have any suggestions as to what could be done to help you in particular or MZES employees in general to deal with the changes brought on by the COVID-19 pandemic?,asf,NA,NA
84,covid_suggest_char,Do you have any suggestions as to what could be done to help you in particular or MZES employees in general to deal with the changes brought on by the COVID-19 pandemic?,"nm,",NA,NA
85,covid_suggest_char,Do you have any suggestions as to what could be done to help you in particular or MZES employees in general to deal with the changes brought on by the COVID-19 pandemic?,sadfsdaf,NA,NA
86,covid_suggest_char,Do you have any suggestions as to what could be done to help you in particular or MZES employees in general to deal with the changes brought on by the COVID-19 pandemic?,fvafva,NA,NA
87,covid_suggest_char,Do you have any suggestions as to what could be done to help you in particular or MZES employees in general to deal with the changes brought on by the COVID-19 pandemic?,"nm,",NA,NA
88,covid_suggest_char,Do you have any suggestions as to what could be done to help you in particular or MZES employees in general to deal with the changes brought on by the COVID-19 pandemic?,test,NA,NA
89,covid_suggest_char,Do you have any suggestions as to what could be done to help you in particular or MZES employees in general to deal with the changes brought on by the COVID-19 pandemic?,test,NA,NA
90,covid_return_char,"Given the ongoing vaccination programme, we may expect a continuing gradual return to normal work routines. Please share any suggestions you may have on how the MZES can facilitate this process for you and your colleagues.",jg,NA,NA
91,covid_return_char,"Given the ongoing vaccination programme, we may expect a continuing gradual return to normal work routines. Please share any suggestions you may have on how the MZES can facilitate this process for you and your colleagues.",dhdsjda-hjx,NA,NA
92,covid_return_char,"Given the ongoing vaccination programme, we may expect a continuing gradual return to normal work routines. Please share any suggestions you may have on how the MZES can facilitate this process for you and your colleagues.",test,NA,NA
93,covid_return_char,"Given the ongoing vaccination programme, we may expect a continuing gradual return to normal work routines. Please share any suggestions you may have on how the MZES can facilitate this process for you and your colleagues.",fvlkaa,NA,NA
94,covid_return_char,"Given the ongoing vaccination programme, we may expect a continuing gradual return to normal work routines. Please share any suggestions you may have on how the MZES can facilitate this process for you and your colleagues.",asf,NA,NA
95,covid_return_char,"Given the ongoing vaccination programme, we may expect a continuing gradual return to normal work routines. Please share any suggestions you may have on how the MZES can facilitate this process for you and your colleagues.",test,NA,NA
96,covid_return_char,"Given the ongoing vaccination programme, we may expect a continuing gradual return to normal work routines. Please share any suggestions you may have on how the MZES can facilitate this process for you and your colleagues.",JKSHJC,NA,NA
97,covid_return_char,"Given the ongoing vaccination programme, we may expect a continuing gradual return to normal work routines. Please share any suggestions you may have on how the MZES can facilitate this process for you and your colleagues.",Kein Präsenzzwang,NA,NA
98,covid_return_char,"Given the ongoing vaccination programme, we may expect a continuing gradual return to normal work routines. Please share any suggestions you may have on how the MZES can facilitate this process for you and your colleagues.","xhrtcghvjb,knl",NA,NA
99,covid_return_char,"Given the ongoing vaccination programme, we may expect a continuing gradual return to normal work routines. Please share any suggestions you may have on how the MZES can facilitate this process for you and your colleagues.","nm,",NA,NA
100,covid_return_char,"Given the ongoing vaccination programme, we may expect a continuing gradual return to normal work routines. Please share any suggestions you may have on how the MZES can facilitate this process for you and your colleagues.",test,NA,NA
101,covid_return_char,"Given the ongoing vaccination programme, we may expect a continuing gradual return to normal work routines. Please share any suggestions you may have on how the MZES can facilitate this process for you and your colleagues.",sadfsdaf,NA,NA
102,covid_return_char,"Given the ongoing vaccination programme, we may expect a continuing gradual return to normal work routines. Please share any suggestions you may have on how the MZES can facilitate this process for you and your colleagues.",dxfgh,NA,NA
103,covid_return_char,"Given the ongoing vaccination programme, we may expect a continuing gradual return to normal work routines. Please share any suggestions you may have on how the MZES can facilitate this process for you and your colleagues.","nm,",NA,NA
104,covid_return_char,"Given the ongoing vaccination programme, we may expect a continuing gradual return to normal work routines. Please share any suggestions you may have on how the MZES can facilitate this process for you and your colleagues.",home office,NA,NA
105,covid_return_char,"Given the ongoing vaccination programme, we may expect a continuing gradual return to normal work routines. Please share any suggestions you may have on how the MZES can facilitate this process for you and your colleagues.",test,NA,NA
106,feedback_worker_char,"Please let us know of any suggestions you may have for the work of your departmental staff representatives (currently: Marvin Brinkmann, Simon Ellerbrock, Anna Kurella, Sandra Morgenstern).",afvavf,NA,NA
107,feedback_worker_char,"Please let us know of any suggestions you may have for the work of your departmental staff representatives (currently: Marvin Brinkmann, Simon Ellerbrock, Anna Kurella, Sandra Morgenstern).",test,NA,NA
108,feedback_worker_char,"Please let us know of any suggestions you may have for the work of your departmental staff representatives (currently: Marvin Brinkmann, Simon Ellerbrock, Anna Kurella, Sandra Morgenstern).",sfdgnhg,NA,NA
109,feedback_worker_char,"Please let us know of any suggestions you may have for the work of your departmental staff representatives (currently: Marvin Brinkmann, Simon Ellerbrock, Anna Kurella, Sandra Morgenstern).",test,NA,NA
110,feedback_worker_char,"Please let us know of any suggestions you may have for the work of your departmental staff representatives (currently: Marvin Brinkmann, Simon Ellerbrock, Anna Kurella, Sandra Morgenstern).",jkl,NA,NA
111,feedback_worker_char,"Please let us know of any suggestions you may have for the work of your departmental staff representatives (currently: Marvin Brinkmann, Simon Ellerbrock, Anna Kurella, Sandra Morgenstern).",tfhzgjukikl,NA,NA
112,feedback_worker_char,"Please let us know of any suggestions you may have for the work of your departmental staff representatives (currently: Marvin Brinkmann, Simon Ellerbrock, Anna Kurella, Sandra Morgenstern).",jkl,NA,NA
113,feedback_worker_char,"Please let us know of any suggestions you may have for the work of your departmental staff representatives (currently: Marvin Brinkmann, Simon Ellerbrock, Anna Kurella, Sandra Morgenstern).",asdfsd,NA,NA
114,feedback_worker_char,"Please let us know of any suggestions you may have for the work of your departmental staff representatives (currently: Marvin Brinkmann, Simon Ellerbrock, Anna Kurella, Sandra Morgenstern).",test,NA,NA
115,feedback_worker_char,"Please let us know of any suggestions you may have for the work of your departmental staff representatives (currently: Marvin Brinkmann, Simon Ellerbrock, Anna Kurella, Sandra Morgenstern).",hjggiz,NA,NA
116,feedback_worker_char,"Please let us know of any suggestions you may have for the work of your departmental staff representatives (currently: Marvin Brinkmann, Simon Ellerbrock, Anna Kurella, Sandra Morgenstern).",asf,NA,NA
117,feedback_worker_char,"Please let us know of any suggestions you may have for the work of your departmental staff representatives (currently: Marvin Brinkmann, Simon Ellerbrock, Anna Kurella, Sandra Morgenstern).",test,NA,NA
118,feedback_worker_char,"Please let us know of any suggestions you may have for the work of your departmental staff representatives (currently: Marvin Brinkmann, Simon Ellerbrock, Anna Kurella, Sandra Morgenstern).",jgj,NA,NA
119,feedback_worker_char,"Please let us know of any suggestions you may have for the work of your departmental staff representatives (currently: Marvin Brinkmann, Simon Ellerbrock, Anna Kurella, Sandra Morgenstern).",test,NA,NA
120,feedback_equal_char,Please let us know of any suggestions you may have for the work of the equal opportunities representatives (currently: Anna Adendorf and Denis Cohen).,",.-",NA,NA
121,feedback_equal_char,Please let us know of any suggestions you may have for the work of the equal opportunities representatives (currently: Anna Adendorf and Denis Cohen).,sdgfnhmbn,NA,NA
122,feedback_equal_char,Please let us know of any suggestions you may have for the work of the equal opportunities representatives (currently: Anna Adendorf and Denis Cohen).,jkjlh,NA,NA
123,feedback_equal_char,Please let us know of any suggestions you may have for the work of the equal opportunities representatives (currently: Anna Adendorf and Denis Cohen).,test,NA,NA
124,feedback_equal_char,Please let us know of any suggestions you may have for the work of the equal opportunities representatives (currently: Anna Adendorf and Denis Cohen).,asf,NA,NA
125,feedback_equal_char,Please let us know of any suggestions you may have for the work of the equal opportunities representatives (currently: Anna Adendorf and Denis Cohen).,test,NA,NA
126,feedback_equal_char,Please let us know of any suggestions you may have for the work of the equal opportunities representatives (currently: Anna Adendorf and Denis Cohen).,test,NA,NA
127,feedback_equal_char,Please let us know of any suggestions you may have for the work of the equal opportunities representatives (currently: Anna Adendorf and Denis Cohen).,",.-",NA,NA
128,feedback_equal_char,Please let us know of any suggestions you may have for the work of the equal opportunities representatives (currently: Anna Adendorf and Denis Cohen).,test,NA,NA
129,feedback_equal_char,Please let us know of any suggestions you may have for the work of the equal opportunities representatives (currently: Anna Adendorf and Denis Cohen).,asdfsad,NA,NA
130,feedback_equal_char,Please let us know of any suggestions you may have for the work of the equal opportunities representatives (currently: Anna Adendorf and Denis Cohen).,fdgzjh,NA,NA
131,feedback_equal_char,Please let us know of any suggestions you may have for the work of the equal opportunities representatives (currently: Anna Adendorf and Denis Cohen).,test,NA,NA
132,feedback_equal_char,Please let us know of any suggestions you may have for the work of the equal opportunities representatives (currently: Anna Adendorf and Denis Cohen).,fdafvda,NA,NA
133,comments_char,"Are there any further comments, questions, or concerns that you would like to share with us?",afvv<afvw,NA,NA
134,comments_char,"Are there any further comments, questions, or concerns that you would like to share with us?",",",NA,NA
135,comments_char,"Are there any further comments, questions, or concerns that you would like to share with us?",Danke für diese Umfrage!,NA,NA
136,comments_char,"Are there any further comments, questions, or concerns that you would like to share with us?",asdfasdf,NA,NA
137,comments_char,"Are there any further comments, questions, or concerns that you would like to share with us?",sdefdgrtfhzgj,NA,NA
138,comments_char,"Are there any further comments, questions, or concerns that you would like to share with us?",djskd,NA,NA
139,comments_char,"Are there any further comments, questions, or concerns that you would like to share with us?",test,NA,NA
140,comments_char,"Are there any further comments, questions, or concerns that you would like to share with us?",jlkj,NA,NA
141,comments_char,"Are there any further comments, questions, or concerns that you would like to share with us?",test,NA,NA
142,comments_char,"Are there any further comments, questions, or concerns that you would like to share with us?",saf,NA,NA
143,comments_char,"Are there any further comments, questions, or concerns that you would like to share with us?",test,NA,NA
144,comments_char,"Are there any further comments, questions, or concerns that you would like to share with us?",test,NA,NA
145,comments_char,"Are there any further comments, questions, or concerns that you would like to share with us?",kugf,NA,NA
146,comments_char,"Are there any further comments, questions, or concerns that you would like to share with us?",gfxchvjbknl,NA,NA
147,comments_char,"Are there any further comments, questions, or concerns that you would like to share with us?","m,",NA,NA
148,covid_neg_explain_char,Could you elaborate on the way in which these factors affected your work?,j,NA,NA
149,covid_neg_explain_char,Could you elaborate on the way in which these factors affected your work?,sadfsdaf,NA,NA
150,covid_neg_explain_char,Could you elaborate on the way in which these factors affected your work?,asf,NA,NA
151,covid_neg_explain_char,Could you elaborate on the way in which these factors affected your work?,test,NA,NA
152,covid_neg_explain_char,Could you elaborate on the way in which these factors affected your work?,Nein,NA,NA
153,covid_neg_explain_char,Could you elaborate on the way in which these factors affected your work?,rfegtdhui,NA,NA
154,covid_neg_explain_char,Could you elaborate on the way in which these factors affected your work?,gh,NA,NA
155,covid_neg_explain_char,Could you elaborate on the way in which these factors affected your work?,ydffhzjg,NA,NA
156,covid_neg_explain_char,Could you elaborate on the way in which these factors affected your work?,test,NA,NA
157,self_explain_char,"If you would like, please give a brief anonymized description of your experience(s).",asdfsdfa,NA,NA
158,self_explain_char,"If you would like, please give a brief anonymized description of your experience(s).",sdfdfgh,NA,NA
159,self_explain_char,"If you would like, please give a brief anonymized description of your experience(s).",sad,NA,NA
160,self_explain_char,"If you would like, please give a brief anonymized description of your experience(s).",ghj,NA,NA
161,self_explain_char,"If you would like, please give a brief anonymized description of your experience(s).",jk,NA,NA
162,self_explain_char,"If you would like, please give a brief anonymized description of your experience(s).",asdfsadf,NA,NA
163,self_explain_char,"If you would like, please give a brief anonymized description of your experience(s).",gth,NA,NA
164,self_conseq_career_explain_char,"How? (referring to: Do you think that any of these experiences have had, or will have, negative effects on your career? )",ewrtzujki,NA,NA
165,self_conseq_career_explain_char,"How? (referring to: Do you think that any of these experiences have had, or will have, negative effects on your career? )",esrrdtfhgju,NA,NA
166,self_conseq_career_explain_char,"How? (referring to: Do you think that any of these experiences have had, or will have, negative effects on your career? )",",",NA,NA
167,self_conseq_career_explain_char,"How? (referring to: Do you think that any of these experiences have had, or will have, negative effects on your career? )",nm,NA,NA
168,self_conseq_career_explain_char,"How? (referring to: Do you think that any of these experiences have had, or will have, negative effects on your career? )",Demotivation,NA,NA
169,others_suggest_infrastruc_char,What kind of support infrastructure do you think would be most effective in helping people suffering from experiences like the ones you have made and/or witnessed?,dfghc,NA,NA
170,others_suggest_infrastruc_char,What kind of support infrastructure do you think would be most effective in helping people suffering from experiences like the ones you have made and/or witnessed?,sad,NA,NA
171,others_suggest_infrastruc_char,What kind of support infrastructure do you think would be most effective in helping people suffering from experiences like the ones you have made and/or witnessed?,bnm,NA,NA
172,others_suggest_infrastruc_char,What kind of support infrastructure do you think would be most effective in helping people suffering from experiences like the ones you have made and/or witnessed?,bnm,NA,NA
173,others_suggest_infrastruc_char,What kind of support infrastructure do you think would be most effective in helping people suffering from experiences like the ones you have made and/or witnessed?,name and shame,NA,NA
174,others_suggest_infrastruc_char,What kind of support infrastructure do you think would be most effective in helping people suffering from experiences like the ones you have made and/or witnessed?,sadfasdf,NA,NA
175,others_suggest_infrastruc_char,What kind of support infrastructure do you think would be most effective in helping people suffering from experiences like the ones you have made and/or witnessed?,xgfchvjbknl,NA,NA
176,others_suggest_infrastruc_char,What kind of support infrastructure do you think would be most effective in helping people suffering from experiences like the ones you have made and/or witnessed?,Ombudsperson,NA,NA
177,others_suggest_prevent_char,"Can you think of any measures that would help prevent the experiences you have made and/or witnessed? If so, which?",fgchvjbkl,NA,NA
178,others_suggest_prevent_char,"Can you think of any measures that would help prevent the experiences you have made and/or witnessed? If so, which?",ydxgfghj,NA,NA
179,others_suggest_prevent_char,"Can you think of any measures that would help prevent the experiences you have made and/or witnessed? If so, which?",saf,NA,NA
180,others_suggest_prevent_char,"Can you think of any measures that would help prevent the experiences you have made and/or witnessed? If so, which?",Sensitivity Training,NA,NA
181,others_suggest_prevent_char,"Can you think of any measures that would help prevent the experiences you have made and/or witnessed? If so, which?",bnm,NA,NA
182,others_suggest_prevent_char,"Can you think of any measures that would help prevent the experiences you have made and/or witnessed? If so, which?",can't think of any,NA,NA
183,others_suggest_prevent_char,"Can you think of any measures that would help prevent the experiences you have made and/or witnessed? If so, which?",nm,NA,NA
184,others_suggest_prevent_char,"Can you think of any measures that would help prevent the experiences you have made and/or witnessed? If so, which?",asdfasdf,NA,NA
